"post_type","post_title","notes"
"match","August 29, 1972  L  0-3  Malaysia          ","        Ingolstadt, W. Germany(OLY'72)"
"match","August 29, 1972  D  2-2  Canada            ","  3273  Baltimore, MD, USA (WCQ'74)   Roy, Geimer"
"match","August 27, 1972  D  0-0  Morocco           ","        Augsburg, West Germany(OLY'72)"
"match","August 20, 1972  L  2-3  Canada            ","  7600  St. John's, Canada (WCQ'74)   Roy, Getzinger"
"match","May 14, 1972  W  2-1  Jamaica           ","        St. Louis, MO, USA (OLQ'72)   Carenza, Hernandez"
"match","May 10, 1972  D  2-2  Mexico            ","        San Francisco, CA, USA (OLQ'72)   Seerey (2)"
"match","April 25, 1972  W  2-1  Guatemala         ","        Miami, FL, USA (OLQ'72)   Seerey (2)"
"match","April 16, 1972  L  2-3  Guatemala         ","        Guatemala City, Guat. (OLQ'72)   Hamm, Carenza"
"match","January 23, 1972  D  1-1  Mexico            ","        Guadalajara, Mexico (OLQ'72)   Carenza"
"match","January 16, 1972  D  1-1  Jamaica           ","        Kingston, Jamaica (OLQ'72)   Roboostoff"
"match","September 18, 1971  W  1-0  El Salvador       ","        Kingston, Jamaica (OLQ'72)   Trost"
"match","August 22, 1971  W  3-1  Barbados          ","        Bridgetown, Barbados (OLQ'72)   Demling, Trost, Carenza"
"match","August 15, 1971  D  1-1  El Salvador       ","        San Salvador, E. S. (OLQ'72)   Hernandez"
"match","July 25, 1971  W  3-0  Barbados          ","        Miami, FL, USA (OLQ'72)*   Gay (3)"
"match","July 18, 1971  D  1-1  El Salvador       ","        Miami, FL, USA (OLQ'72)*   Carenza"
"match","May 11, 1969  L  0-1  Haiti             ","  6546  San Diego, CA, USA (WCQ'70)"
"match","April 20, 1969  L  0-2  Haiti             ","  6917  Port au Prince, Haiti (WCQ'70)"
"match","November 11, 1968  W  2-0  Bermuda           ","  2942  Hamilton, Bermuda (WCQ'70)   Roy (41), Og"
"match","November 03, 1968  W  6-2  Bermuda           ","  2265  Kansas City, MO, USA (WCQ'70)   Millar (3), Baker (2), Roy"
"match","October 26, 1968  W  1-0  Canada            ","  2727  Atlanta, GA, USA (WCQ'70)   Albrecht"
"match","October 23, 1968  L  0-1  Haiti             ","  5641  Port au Prince, Haiti"
"match","October 21, 1968  L  2-5  Haiti             ","  2464  Port au Prince, Haiti   Stritzl, Millar"
"match","October 20, 1968  W  6-3  Haiti             ","  7284  Port au Prince, Haiti   Millar (2), Albrecht (2), Roy (2)"
"match","October 13, 1968  L  2-4  Canada            "," 10243  Toronto, Canada (WCQ'70)   Roy (38), Stritzl (90)"
"match","September 25, 1968  L  0-4  Israel            ","  7161  Philadelphia, PA, USA"
"match","September 15, 1968  D  3-3  Israel            "," 10118  New York, NY, USA   Millar (2), Roy"
"match","May 27, 1967  L  0-1  Bermuda           ","        Chicago, IL, USA (OLQ'68)"
"match","May 21, 1967  D  1-1  Bermuda           ","        Hamilton, Bermuda (OLQ'68)   Bendeck"
"match","March 21, 1965  D  1-1  Honduras          ","  2331  Tegucigalpa, Honduras (WCQ'66)   E. Murphy"
"match","March 17, 1965  W  1-0  Honduras          ","  1268  San Pedro Sula, CA, USA (WCQ'66)   E. Murphy"
"match","March 12, 1965  L  0-2  Mexico            "," 64285  Mexico City, Mexico (WCQ'66)"
"match","March 07, 1965  D  2-2  Mexico            "," 19337  Los Angeles, CA, USA (WCQ'66)   Bicek, Shmotolocha"
"match","May 27, 1964  L  0-10 England           ","  5062  New York, NY, USA"
"match","March 20, 1964  L  1-2  Mexico            ","        Mexico City, Mexico (OLQ'64)   Gentile"
"match","March 18, 1964  W  4-2  Panama            ","        Mexico City, Mexico (OLQ'64)   Wostl,Gentile (3)"
"match","March 16, 1964  L  0-1  Surinam           ","        Mexico City, Mexico (OLQ'64)"
"match","February 05, 1961  L  0-2  Colombia          "," 30000  Bogota, Colombia"
"match","November 13, 1960  L  0-3  Mexico            "," 80000  Mexico City, Mexico (WCQ'62)"
"match","November 06, 1960  D  3-3  Mexico            ","  8000  Los Angeles, CA, USA (WCQ'62)   Bicek, Zerfusen, Fister"
"match","November 22, 1959  D  1-1  Mexico            ","        Los Angeles, CA, USA (OLQ'60)   E. Murphy"
"match","October 08, 1959  L  0-2  Mexico            ","        Mexico City, Mexico (OLQ'60)"
"match","September 05, 1959  W  4-2  Mexico            ","        Chicago, IL, USA (PAG)"
"match","September 03, 1959  L  3-4  Costa Rica        ","        Chicago, IL, USA (PAG)   Looby, Murphy, Zerhusen"
"match","September 02, 1959  W  5-0  Cuba              ","        Chicago, IL, USA (PAG)   Looby (2), Zerhusen (2), Murphy"
"match","August 31, 1959  W  5-3  Brazil            ","        Chicago, IL, USA (PAG)"
"match","August 29, 1959  W  7-2  Haiti             ","        Chicago, IL, USA (PAG)   Zerhusen (4), Looby (2), Grabowski"
"match","August 28, 1959  L  1-4  Argentina         ","        Chicago, IL, USA (PAG)"
"match","May 28, 1959  L  1-8  England           "," 13000  Los Angeles, CA, USA   E. Murphy (18)"
"match","July 06, 1957  L  2-3  Canada            ","  1500  St. Louis, MO, USA (WCQ'58)   J. Murphy, Mendoza"
"match","June 22, 1957  L  1-5  Canada            ","  5167  Toronto, Canada (WCQ'58)   Keough"
"match","April 28, 1957  L  2-7  Mexico            "," 12500  Long Beach, CA, USA (WCQ'58)   E. Murphy (2)"
"match","April 07, 1957  L  0-6  Mexico            "," 75000  Mexico City, Mexico (WCQ'58)"
"match","November 28, 1956  L  1-9  Yugoslavia        ","        Melbourne, Australia (OLY'56)   Zerhusen"
"match","August 25, 1955  L  2-3  Iceland           ","  9500  Reykjavik, Iceland   Looby (2)"
"match","April 04, 1954  W  3-0  Haiti             ","  6000  Port au Prince, Haiti (WCQ'54)   Looby (2), Mendoza"
"match","April 03, 1954  W  3-2  Haiti             ","        Port au Prince, Haiti (WCQ'54)   Looby, Mendoza, Chachurian"
"match","January 14, 1954  L  1-3  Mexico            "," 40000  Mexico City, Mexico (WCQ'54)   Looby"
"match","January 10, 1954  L  0-4  Mexico            "," 60000  Mexico City, Mexico (WCQ'54)"
"match","June 08, 1953  L  3-6  England           ","  7271  New York, NY, USA    Decker (2), Atheneos"
"match","July 16, 1952  L  0-8  Italy             ","        Tampere, Finland (OLQ'52)"
"match","April 30, 1952  L  0-6  Scotland          ","107765  Glasgow, Scotland"
"match","July 02, 1950  L  2-5  Chile             ","  8501  Recife, Brazil (WC'50)   Pariani, Souza"
"match","June 29, 1950  W  1-0  England           "," 10151  Belo Horizonte, Brazil (WC'50)   Gaetjens"
"match","June 25, 1950  L  1-3  Spain             ","  9511  Curitibia, Brazil (WC'50)   Souza"
"match","September 21, 1949  W  5-2  Cuba              ","  5000  Mexico City, Mex. (NAC/WCQ'50)   Matevich (2), Souza, Wallace, Bahr"
"match","September 18, 1949  L  2-6  Mexico            "," 54500  Mexico City, Mex. (NAC/WCQ'50)   J. Sousa, Watman"
"match","September 14, 1949  D  1-1  Cuba              ","  8000  Mexico City, Mex. (NAC/WCQ'50)   Wallace"
"match","September 04, 1949  L  0-6  Mexico            "," 60000  Mexico City, Mex. (NAC/WCQ'50)"
"match","June 19, 1949  L  0-4  Scotland          "," 17000  New York, NY, USA"
"match","October 17, 1948  W  3-2  Israel            "," 25000  Brooklyn, NY, USA   Sousa, Valtin, Sullivan, White"
"match","October 14, 1948  W  4-1  Israel            "," 30000  Philadelphia, PA, USA   Gormley, Watman (2)"
"match","September 26, 1948  W  3-1  Israel            "," 50000  New York City, NY, USA"
"match","August 11, 1948  L  0-5  N. Ireland        "," 14000  Belfast, N. Ireland"
"match","August 06, 1948  L  0-11 Norway            "," 25000  Oslo, Norway"
"match","August 02, 1948  L  0-9  Italy             "," 20000  London, England (OLY'48)"
"match","July 20, 1947  L  2-5  Cuba              ","        Havana, Cuba (NAC)   E. Souza, Valentine"
"match","July 13, 1947  L  0-5  Mexico            ","        Havana, Cuba (NAC)"
"match","September 26, 1937  L  1-5  Mexico            ","        Mexico City, Mexico   Nemchik"
"match","September 19, 1937  L  3-7  Mexico            "," 22000  Mexico City, Mexico   McEwan, Nemchik, Og"
"match","September 12, 1937  L  2-7  Mexico            "," 21000  Mexico City, Mexico   Rae, McEwan"
"match","July 16, 1937  L  2-3  Canada            ","        Dallas, TX, USA"
"match","August 03, 1936  L  0-1  Italy             ","        Berlin, Germany (OLY'36)"
"match","June 09, 1935  L  1-4  Scotland          ","  8500  Newark, NJ, USA   Moorhouse"
"match","May 19, 1935  L  1-5  Scotland          "," 25000  New York, NY, USA   McEwan"
"match","May 27, 1934  L  1-7  Italy             "," 30000  Rome, Italy (WC'34)   Donelli"
"match","May 24, 1934  W  4-2  Mexico            "," 10000  Rome, Italy (WCQ'34)   Donelli (4)"
"match","August 17, 1930  L  3-4  Brazil            ","        Rio de Janeiro, Brazil   Patenaude (2), Gonsalves"
"match","July 26, 1930  L  1-6  Argentina         "," 80000  Montevideo, Uruguay (WC'30)   Brown"
"match","July 17, 1930  W  3-0  Paraguay          "," 20800  Montevideo, Uruguay (WC'30)   Patenaude (2), Florie"
"match","July 13, 1930  W  3-0  Belgium           "," 10000  Montevideo, Uruguay (WC'30)   McGhee, Florie, Patenaude"
"match","June 10, 1928  D  3-3  Poland            "," 10000  Warsaw, Poland   Ryan, Gallagher, Kuntner"
"match","May 30, 1928  L  2-11 Argentina         ","        Amsterdam, Netherlands(Oly'28)   Findley (2)"
"match","November 06, 1926  W  6-2  Canada            ","  2500  Brooklyn, NY, USA   Brown (2), Auld (2), Marshall, Florie"
"match","November 08, 1925  W  6-1  Canada            ","  8000  Brooklyn, NY, USA   Brown, Stark (5)"
"match","June 27, 1925  L  0-1  Canada            ","  3500  Montreal, Canada"
"match","June 16, 1924  L  1-3  Ireland           ","        Dublin, Ireland   Rhody"
"match","June 10, 1924  W  3-2  Poland            ","  8000  Warsaw, Poland   Stradan (2), Wells"
"match","May 29, 1924  L  0-3  Uruguay           "," 20000  Paris, France (Oly'24)"
"match","May 25, 1924  W  1-0  Estonia           "," 10000  Paris, France (Oly'24)   Stradan"
"match","September 03, 1916  D  1-1  Norway            "," 25000  Oslo (Kristiania), Norway   Ellis"
"match","August 20, 1916  W  3-2  Sweden            "," 16000  Stockholm, Sweden   Spalding, Ellis, Cooper"
